MonthYear,Station,Station_Type ,Entry_Exit,Trip
Aug-24,Macquarie Park  Station,Metro,Entry,101317
Aug-24,Macquarie University  Station,Metro,Exit,397176
Aug-24,Macquarie University  Station,Metro,Entry,390362
Aug-24,Maitland  Station,Train,Exit,8733
Aug-24,Maitland  Station,Train,Entry,9693
Aug-24,Marayong  Station,Train,Exit,24165
Aug-24,Marayong  Station,Train,Entry,26614
Aug-24,Marrickville  Station,Train,Exit,88617
Aug-24,Marrickville  Station,Train,Entry,91068
Aug-24,Martin Place  Station,Shared,Exit,634133
Aug-24,Martin Place  Station,Shared,Entry,570490
Aug-24,Martins Creek  Station,Train,Exit,Less than 50
Aug-24,Martins Creek  Station,Train,Entry,Less than 50
Aug-24,Marulan  Station,Train,Exit,Less than 50
Aug-24,Marulan  Station,Train,Entry,51
Aug-24,Mascot  Station,Train,Exit,420809
Aug-24,Mascot  Station,Train,Entry,418703
Aug-24,Meadowbank  Station,Train,Exit,118577
Aug-24,Meadowbank  Station,Train,Entry,129645
Aug-24,Medlow Bath  Station,Train,Exit,917
Aug-24,Medlow Bath  Station,Train,Entry,1071
Aug-24,Menangle Park  Station,Train,Exit,508
Aug-24,Menangle Park  Station,Train,Entry,428
Aug-24,Menangle  Station,Train,Exit,302
Aug-24,Menangle  Station,Train,Entry,298
Aug-24,Merrylands  Station,Train,Exit,155745
Aug-24,Merrylands  Station,Train,Entry,159249
Aug-24,Metford  Station,Train,Exit,1616
Aug-24,Metford  Station,Train,Entry,1579
Aug-24,Milsons Point  Station,Train,Exit,188140
Aug-24,Milsons Point  Station,Train,Entry,180710
Aug-24,Mindaribba  Station,Train,Exit,Less than 50
Aug-24,Mindaribba  Station,Train,Entry,Less than 50
Aug-24,Minnamurra  Station,Train,Exit,2225
Aug-24,Minnamurra  Station,Train,Entry,2538
Aug-24,Minto  Station,Train,Exit,69346
Aug-24,Minto  Station,Train,Entry,72528
Aug-24,Miranda  Station,Train,Exit,89299
Aug-24,Miranda  Station,Train,Entry,86255
Aug-24,Mittagong  Station,Train,Exit,3736
Aug-24,Mittagong  Station,Train,Entry,4088
Aug-24,Morisset  Station,Train,Exit,14890
Aug-24,Morisset  Station,Train,Entry,16225
Aug-24,Mortdale  Station,Train,Exit,74323
Aug-24,Mortdale  Station,Train,Entry,81088
Aug-24,Moss Vale  Station,Train,Exit,3643
Aug-24,Moss Vale  Station,Train,Entry,4245
Aug-24,Mount Colah  Station,Train,Exit,12792
Aug-24,Mount Colah  Station,Train,Entry,14030
Aug-24,Mount Druitt  Station,Train,Exit,159661
Aug-24,Mount Druitt  Station,Train,Entry,160624
Aug-24,Mount Kuring-gai  Station,Train,Exit,5310
Aug-24,Mount Kuring-gai  Station,Train,Entry,5165
Aug-24,Mount Victoria  Station,Train,Exit,2728
Aug-24,Mount Victoria  Station,Train,Entry,2744
Aug-24,Mulgrave  Station,Train,Exit,6007
Aug-24,Mulgrave  Station,Train,Entry,6251
Aug-24,Museum  Station,Train,Exit,285358
Aug-24,Museum  Station,Train,Entry,267517
Aug-24,Muswellbrook  Station,Train,Exit,434
Aug-24,Muswellbrook  Station,Train,Entry,622
Aug-24,Narara  Station,Train,Exit,4436
Aug-24,Narara  Station,Train,Entry,5128
Aug-24,Narwee  Station,Train,Exit,39049
Aug-24,Narwee  Station,Train,Entry,42448
Aug-24,Newcastle Interchange Station,Train,Exit,41309
Aug-24,Newcastle Interchange Station,Train,Entry,41418
Aug-24,Newtown  Station,Train,Exit,275098
Aug-24,Newtown  Station,Train,Entry,242547
Aug-24,Niagara Park  Station,Train,Exit,2345
Aug-24,Niagara Park  Station,Train,Entry,2451
Aug-24,Normanhurst  Station,Train,Exit,23258
Aug-24,Normanhurst  Station,Train,Entry,29307
Aug-24,North Ryde  Station,Metro,Exit,78048
Aug-24,North Ryde  Station,Metro,Entry,77693
Aug-24,North Strathfield  Station,Train,Exit,63976
Aug-24,North Strathfield  Station,Train,Entry,64638
Aug-24,North Sydney  Station,Train,Exit,478921
Aug-24,North Sydney  Station,Train,Entry,458248
Aug-24,North Wollongong  Station,Train,Exit,34167
Aug-24,North Wollongong  Station,Train,Entry,34756
Aug-24,Norwest  Station,Metro,Exit,68911
Aug-24,Norwest  Station,Metro,Entry,70138
Aug-24,Oak Flats  Station,Train,Exit,8985
Aug-24,Oak Flats  Station,Train,Entry,10038
Aug-24,Oatley  Station,Train,Exit,43835
Aug-24,Oatley  Station,Train,Entry,46273
Aug-24,Olympic Park  Station,Train,Exit,81828
Aug-24,Olympic Park  Station,Train,Entry,80583
Aug-24,Otford  Station,Train,Exit,852
Aug-24,Otford  Station,Train,Entry,835
Aug-24,Ourimbah  Station,Train,Exit,4190
Aug-24,Ourimbah  Station,Train,Entry,4382
Aug-24,Padstow  Station,Train,Exit,54156
Aug-24,Padstow  Station,Train,Entry,58111
Aug-24,Panania  Station,Train,Exit,36468
Aug-24,Panania  Station,Train,Entry,39677
Aug-24,Parramatta  Station,Train,Exit,1099566
Aug-24,Parramatta  Station,Train,Entry,1080764
Aug-24,Paterson  Station,Train,Exit,147
Aug-24,Paterson  Station,Train,Entry,173
Aug-24,Pendle Hill  Station,Train,Exit,72447
Aug-24,Pendle Hill  Station,Train,Entry,76631
Aug-24,Pennant Hills  Station,Train,Exit,40512
Aug-24,Pennant Hills  Station,Train,Entry,42404
Aug-24,Penrith  Station,Train,Exit,181825
Aug-24,Penrith  Station,Train,Entry,177109
Aug-24,Penrose  Station,Train,Exit,Less than 50
Aug-24,Penrose  Station,Train,Entry,Less than 50
Aug-24,Penshurst  Station,Train,Exit,64802
Aug-24,Penshurst  Station,Train,Entry,74338
Aug-24,Petersham  Station,Train,Exit,79562
Aug-24,Petersham  Station,Train,Entry,80565
Aug-24,Picton  Station,Train,Exit,2905
Aug-24,Picton  Station,Train,Entry,3293
Aug-24,Point Clare  Station,Train,Exit,3298
Aug-24,Point Clare  Station,Train,Entry,3720
Aug-24,Port Kembla North  Station,Train,Exit,300
Aug-24,Port Kembla North  Station,Train,Entry,313
Aug-24,Port Kembla  Station,Train,Exit,1746
Aug-24,Port Kembla  Station,Train,Entry,2088
Aug-24,Punchbowl  Station,Train,Exit,53755
Aug-24,Punchbowl  Station,Train,Entry,56952
Aug-24,Pymble  Station,Train,Exit,49788
Aug-24,Pymble  Station,Train,Entry,55353
Aug-24,Quakers Hill  Station,Train,Exit,61067
Aug-24,Quakers Hill  Station,Train,Entry,67805
Aug-24,Redfern  Station,Train,Exit,794701
Aug-24,Redfern  Station,Train,Entry,737321
Aug-24,Regents Park  Station,Train,Exit,29429
Aug-24,Regents Park  Station,Train,Entry,30292
Aug-24,Revesby  Station,Train,Exit,108486
Aug-24,Revesby  Station,Train,Entry,112293
Aug-24,Rhodes  Station,Train,Exit,237472
Aug-24,Rhodes  Station,Train,Entry,241222
Aug-24,Richmond  Station,Train,Exit,16266
Aug-24,Richmond  Station,Train,Entry,20007
Aug-24,Riverstone  Station,Train,Exit,30413
Aug-24,Riverstone  Station,Train,Entry,32667
Aug-24,Riverwood  Station,Train,Exit,75237
Aug-24,Riverwood  Station,Train,Entry,79153
Aug-24,Rockdale  Station,Train,Exit,245410
Aug-24,Rockdale  Station,Train,Entry,253920
Aug-24,Rooty Hill  Station,Train,Exit,85092
Aug-24,Rooty Hill  Station,Train,Entry,89078
Aug-24,Roseville  Station,Train,Exit,65988
Aug-24,Roseville  Station,Train,Entry,71135
Aug-24,Rouse Hill  Station,Metro,Exit,117899
Aug-24,Rouse Hill  Station,Metro,Entry,112644
Aug-24,Rydal  Station,Train,Exit,Less than 50
Aug-24,Rydal  Station,Train,Entry,Less than 50
Aug-24,Rydalmere Station,Train,Exit,1786
Aug-24,Rydalmere Station,Train,Entry,1679
Aug-24,Sandgate  Station,Train,Exit,390
Aug-24,Sandgate  Station,Train,Entry,423
Aug-24,Scarborough  Station,Train,Exit,705
Aug-24,Scarborough  Station,Train,Entry,465
Aug-24,Schofields  Station,Train,Exit,107015
Aug-24,Schofields  Station,Train,Entry,113739
Aug-24,Scone  Station,Train,Exit,320
Aug-24,Scone  Station,Train,Entry,450
Aug-24,Sefton  Station,Train,Exit,14833
Aug-24,Sefton  Station,Train,Entry,17285
Aug-24,Seven Hills  Station,Train,Exit,143762
Aug-24,Seven Hills  Station,Train,Entry,151392
Aug-24,Shellharbour Junction  Station,Train,Exit,3977
Aug-24,Shellharbour Junction  Station,Train,Entry,4667
Aug-24,Singleton  Station,Train,Exit,673
Aug-24,Singleton  Station,Train,Entry,795
Aug-24,Springwood  Station,Train,Exit,19911
Aug-24,Springwood  Station,Train,Entry,21105
Aug-24,St James  Station,Train,Exit,202812
Aug-24,St James  Station,Train,Entry,187101
Aug-24,St Leonards  Station,Train,Exit,346743
Aug-24,St Leonards  Station,Train,Entry,346179
Aug-24,St Marys  Station,Train,Exit,105880
Aug-24,St Marys  Station,Train,Entry,108137
Aug-24,St Peters  Station,Train,Exit,74889
Aug-24,St Peters  Station,Train,Entry,81198
Aug-24,Stanmore  Station,Train,Exit,67236
Aug-24,Stanmore  Station,Train,Entry,74642
Aug-24,Stanwell Park  Station,Train,Exit,1551
Aug-24,Stanwell Park  Station,Train,Entry,1494
Aug-24,Strathfield  Station,Train,Exit,635130
Aug-24,Strathfield  Station,Train,Entry,650181
Aug-24,Summer Hill  Station,Train,Exit,75956
Aug-24,Summer Hill  Station,Train,Entry,81823
Aug-24,Sutherland  Station,Train,Exit,154281
Aug-24,Sutherland  Station,Train,Entry,158629
Aug-24,Sydenham  Station,Shared,Exit,210021
Aug-24,Sydenham  Station,Shared,Entry,207359
Aug-24,Tahmoor  Station,Train,Exit,3333
Aug-24,Tahmoor  Station,Train,Entry,3761
Aug-24,Tallawong  Station,Metro,Exit,144586
Aug-24,Tallawong  Station,Metro,Entry,154687
Aug-24,Tallong  Station,Train,Exit,Less than 50
Aug-24,Tallong  Station,Train,Entry,Less than 50
Aug-24,Tarana  Station,Train,Exit,67
Aug-24,Tarana  Station,Train,Entry,90
Aug-24,Tarro  Station,Train,Exit,104
Aug-24,Tarro  Station,Train,Entry,135
Aug-24,Tascott  Station,Train,Exit,1970
Aug-24,Tascott  Station,Train,Entry,2523
Aug-24,Telarah  Station,Train,Exit,2504
Aug-24,Telarah  Station,Train,Entry,2830
Aug-24,Telopea Station,Train,Exit,2658
Aug-24,Telopea Station,Train,Entry,3019
Aug-24,Tempe  Station,Train,Exit,30638
Aug-24,Tempe  Station,Train,Entry,32411
Aug-24,Teralba  Station,Train,Exit,1057
Aug-24,Teralba  Station,Train,Entry,1145
Aug-24,Thirroul  Station,Train,Exit,21760
Aug-24,Thirroul  Station,Train,Entry,21949
Aug-24,Thornleigh  Station,Train,Exit,36293
Aug-24,Thornleigh  Station,Train,Entry,38048
Aug-24,Thornton  Station,Train,Exit,5399
Aug-24,Thornton  Station,Train,Entry,6034
Aug-24,Toongabbie  Station,Train,Exit,68205
Aug-24,Toongabbie  Station,Train,Entry,72007
Aug-24,Town Hall  Station,Train,Exit,2081733
Aug-24,Town Hall  Station,Train,Entry,2143574
Aug-24,Towradgi  Station,Train,Exit,1516
Aug-24,Towradgi  Station,Train,Entry,1880
